?? m?c,Answer 0,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8
?? m?c 1,0 - Tôi không c?m th?y bu?n.,1 - Nhi?u lúc tôi c?m th?y chán ho?c bu?n.,2 - Lúc nào tôi c?ng c?m th?y chán ho?c bu?n và tôi không th? d?ng l?i ???c.,2 - Lúc nào tôi c?ng c?m th?y bu?n và b?t h?nh ??n m?c hoàn toàn ?au kh?.,3 - Tôi r?t bu?n ho?c r?t b?t h?nh và kh? s? ??n m?c không th? ch?u ???c.,,,,
?? m?c 2,0 - Tôi hoàn toàn không bi quan và n?n lòng v? t??ng lai.,1 - Tôi c?m th?y n?n lòng v? t??ng lai h?n tr??c ?ây.,2 - Tôi c?m th?y mình ch?ng có gì mong ??i ? t??ng lai c?.,2 - Tôi c?m th?y s? không bao gi? kh?c ph?c ???c nh?ng ?i?u phi?n mu?n c?a tôi.,3 - Tôi c?m th?y t??ng lai tuy?t v?ng và tình hình ch? có th? ti?p t?c x?u ?i ho?c không th? c?i thi?n ???c.,,,,
?? m?c 3,0 - Tôi không c?m th?y nh? b? th?t b?i.,1 - Tôi th?y mình th?t b?i nhi?u h?n nh?ng ng??i khác.,2 - Tôi c?m th?y ?ã hoàn thành r?t ít ?i?u ?áng giá ho?c ?ã hoàn thành r?t ít ?i?u có ý ngh?a.,"2 - Nhìn l?i cu?c ??i, tôi th?y mình ?ã có quá nhi?u th?t b?i.",3 - Tôi c?m th?y mình là m?t ng??i hoàn toàn th?t b?i.,"3 - Tôi t? c?m th?y hoàn toàn th?t b?i trong vai trò c?a tôi (b?, m?, ch?ng, v?…).",,,
?? m?c 4,0 - Tôi hoàn toàn không b?t mãn.,0 - Tôi còn thích thú v?i nh?ng ?i?u mà tr??c ?ây tôi v?n th??ng ?a thích.,1 - Tôi luôn luôn c?m th?y bu?n.,1 - Tôi ít th?y thích nh?ng ?i?u mà tôi v?n th??ng ?a thích tr??c ?ây.,2 - Tôi không thõa mãn v? b?t k? cái gì n?a.,2 - Tôi r?t ít thích thú v? nh?ng ?i?u tr??c ?ây tôi v?n th??ng ?a thích.,3 - Tôi không còn chút thích thú nào n?a.,3 - Tôi không hài lòng v?i m?i cái.,
?? m?c 5,0 - Tôi hoàn toàn không c?m th?y có t?i l?i gì ghê g?m c?.,1 - Ph?n nhi?u nh?ng vi?c tôi ?ã làm tôi ??u c?m th?y có t?i.,1 - Ph?n l?n th?i gian tôi c?m th?y mình t?i ho?c không x?ng ?áng.,2 - Tôi c?m th?y mình hoàn toàn có t?i.,2 - Gi? ?ây tôi luôn c?m th?y trên th?c t? mình t?i ho?c không x?ng ?áng.,3 - Lúc nào tôi c?ng c?m th?y mình có t?i.,3 - Tôi c?m th?y nh? là tôi r?t t?i ho?c vô d?ng.,,
?? m?c 6,0 - Tôi không c?m th?y ?ang b? tr?ng ph?t.,1 - Tôi c?m th?y có th? mình s? b? tr?ng ph?t.,1 - Tôi c?m th?y m?t cái gì x?u có th? ??n v?i tôi.,2 - Tôi mong ch? b? tr?ng ph?t.,2 - Tôi c?m th?y mình s? b? tr?ng ph?t.,3 - Tôi c?m th?y mình ?ang b? tr?ng ph?t.,3 - Tôi mu?n b? tr?ng ph?t.,,
?? m?c 7,0 - Tôi th?y b?n thân mình v?n nh? tr??c kia ho?c tôi không c?m th?y th?t v?ng v?i b?n thân.,"1 - Tôi th?t v?ng v?i b?n thân, tôi không còn tin t??ng vào b?n thân ho?c tôi không thích b?n thân.",2 - Tôi th?t v?ng v?i b?n thân ho?c Tôi ghê t?m b?n thân.,3 - Tôi ghét b?n thân mình ho?c Tôi c?m thù b?n thân.,,,,,
?? m?c 8,0 - Tôi không phê phán ho?c ?? l?i cho b?n thân h?n tr??c kia.,0 - Tôi không t? c?m th?y m?t chút nào x?u h?n b?t k? ai.,1 - Tôi phê phán b?n thân mình nhi?u h?n tr??c kia.,1 - Tôi t? chê mình v? s? y?u ?u?i và l?i l?m c?a b?n thân.,2 - Tôi phê phán b?n thân v? t?t c? nh?ng l?i l?m c?a mình.,2 - Tôi khi?n trách mình vì nh?ng l?i l?m c?a b?n thân.,3 - Tôi ?? l?i cho b?n thân v? t?t c? m?i ?i?u t?i t? x?y ra.,3 - Tôi khi?n trách mình v? m?i ?i?u x?u x?y ??n.,
?? m?c 9,0 - Tôi không có ý ngh? t? sát.,0 - Tôi không có b?t k? ý ngh? gì làm t?n h?i b?n thân.,1 - Tôi có ý ngh? t? sát nh?ng không th?c hi?n.,1 - Tôi có nh?ng ý ngh? làm t?n h?i b?n thân nh?ng tôi th??ng không th?c hi?n chúng.,2 - Tôi mu?n t? sát.,2 - Tôi c?m th?y giá mà tôi ch?t thì t?t h?n.,2 - Tôi c?m th?y gia ?ình tôi s? t?t h?n n?u tôi ch?t.,2 - Tôi có d? ??nh rõ ràng ?? t? sát.,3 - N?u có c? h?i tôi s? t? sát.
?? m?c 10,0 - Tôi không khóc nhi?u h?n tr??c kia.,1 -  Hi?n nay tôi hay khóc nhi?u h?n tr??c.,2 - Tôi th??ng khóc vì nh?ng ?i?u nh? nh?t.,"2 - Hi?n t?i tôi luôn luôn khóc, tôi không th? d?ng ???c.",3 - Tôi th?y mu?n khóc nh?ng không th? khóc ???c.,"3 - Tr??c ?ây th?nh tho?ng tôi v?n khóc, nh?ng hi?n t?i tôi không th? khóc ???c chút nào m?c dù tôi mu?n khóc.",,,
